Site,Tooth,Peak,Wavenumber,Abs_intensity,Rel_intensity,Width,Found_if_threshold
San Felice,SF_01,565,561.1621,1.738,1.723,42.1238,86.034248
San Felice,SF_01,590,588.822,0.796,0.438,41.2367,13.678163
San Felice,SF_01,605,600.1292,1.028,0.307,10.3555,13.679876
San Felice,SF_01,1035,1016.7353,2.001,1.992,98.3896,99.465881
San Felice,SF_01,1415,1413.2685,0.191,0.184,119.8296,106.400177
San Felice,SF_01,1455,1454.7416,0.188,0.033,24.0078,22.412544
San Felice,SF_01,1540,1541.6348,0.064,0.003,5.2398,1.538119
San Felice,SF_03,565,563.2066,1.988,1.975,39.8888,102.989021
San Felice,SF_03,590,589.4448,0.94,0.56,67.7691,17.457453
San Felice,SF_03,605,601.2795,1.28,0.42,10.962,17.372883
San Felice,SF_03,1035,1024.0374,2,1.988,103.4506,136.838364
San Felice,SF_03,1415,1415.0223,0.196,0.044,24.6965,20.232874
San Felice,SF_03,1455,1456.1862,0.199,0.185,123.7089,142.034836
San Felice,SF_03,1540,1541.7891,0.076,0.006,4.8884,40.673008
San Felice,SF_04,565,560.2813,1.674,1.66,41.0709,82.377281
San Felice,SF_04,590,588.2004,0.722,0.445,8.7277,14.248666
San Felice,SF_04,605,599.9263,0.954,0.3,10.4917,14.2114
San Felice,SF_04,1035,1014.3578,2,1.993,92.872,99.521843
San Felice,SF_04,1415,1413.3832,0.196,0.185,117.9641,106.636681
San Felice,SF_04,1455,1454.2914,0.193,0.035,22.6557,23.045025
San Felice,SF_04,1540,1539.8974,0.065,0.002,6.6335,1.048134
San Felice,SF_05,565,559.8136,1.658,1.642,42.56,81.366371
San Felice,SF_05,590,588.1483,0.713,0.426,54.7374,13.326968
San Felice,SF_05,605,599.6678,0.927,0.28,10.3382,13.249548
San Felice,SF_05,1035,1012.4165,2,1.997,105.8223,99.815582
San Felice,SF_05,1415,1413.9848,0.204,0.199,116.8345,105.136757
San Felice,SF_05,1455,1454.355,0.201,0.033,20.3463,22.133158
San Felice,SF_05,1540,1540.2602,0.062,0.001,5.5014,0.776476
San Felice,SF_06,565,559.9869,1.705,1.694,40.3757,84.324959
San Felice,SF_06,590,588.1846,0.708,0.447,16.8275,13.422664
San Felice,SF_06,605,599.6988,0.931,0.292,10.3496,13.314442
San Felice,SF_06,1035,1013.7325,2,1.998,90.1424,99.936874
San Felice,SF_06,1415,1412.8697,0.18,0.177,115.4093,106.488983
San Felice,SF_06,1455,1452.67,0.177,0.034,25.7939,23.014435
San Felice,SF_06,1540,1542.2333,0.049,0.001,5.3097,0.434425
San Felice,SF_07,565,560.6072,1.72,1.711,39.6436,103.161896
San Felice,SF_07,590,588.5399,0.725,0.46,25.6172,14.397209
San Felice,SF_07,605,599.9644,0.966,0.309,10.4134,14.249242
San Felice,SF_07,1035,1015.646,2,1.995,92.2463,135.615051
San Felice,SF_07,1415,1414.7897,0.175,0.041,22.4495,18.877569
San Felice,SF_07,1455,1454.8087,0.177,0.17,118.5467,141.624451
San Felice,SF_07,1540,1540.9531,0.062,0.004,5.9848,2.880088
San Felice,SF_08,565,559.6562,1.643,1.633,40.744,81.210686
San Felice,SF_08,590,588.2833,0.691,0.413,46.0691,12.496276
San Felice,SF_08,605,599.6121,0.891,0.266,10.1984,12.407674
San Felice,SF_08,1035,1012.0492,2,1.993,92.0508,99.578377
San Felice,SF_08,1415,1414.7221,0.183,0.174,119.1745,107.119019
San Felice,SF_08,1455,1454.5174,0.182,0.029,20.4936,23.225323
