Sample,C.N,d15N,d13C,perN,perC,Run,Exclude,NotesCollagen,Site,SU,Taxon,TaxGroup,TaxGroupComp,Species,MajorGroup,Element,Details,CollagenYield
VV12,3.24,6.55,-21.36,16.04,44.48,1,,,Vagnari vicus,2014,Sheep,Ovis/Capra,Sheep/goat,Ovis,Herbivores,Radius,,0.109
VV11,3.31,7.65,-21.38,16,45.4,1,,Outlier,Vagnari vicus,2024,Pig,Sus,Pig,,Omnivores,Mandible,,0.058
VV10,3.23,6.95,-21.54,17.39,48.2,1,,,Vagnari vicus,4030,Sheep/goat,Ovis/Capra,Sheep/goat,,Herbivores,Metacarpal,,0.122
VV09,3.26,6.68,-20.81,15.25,42.58,1,,,Vagnari vicus,5015,Sheep/goat,Ovis/Capra,Sheep/goat,,Herbivores,Scapula,,0.076
VV08,3.23,5.31,-19.69,16.61,45.95,1,,,Vagnari vicus,2008,Sheep/goat,Ovis/Capra,Sheep/goat,,Herbivores,Tibia,,0.193
VV07,3.22,5.96,-20.25,15.47,42.73,1,,,Vagnari vicus,5015,Sheep/goat,Ovis/Capra,Sheep/goat,,Herbivores,Metacarpal,,0.197
VV06,3.24,4.28,-20.6,15.2,42.2,1,,,Vagnari vicus,3029,Cattle,Bos,Cattle,,Herbivores,Metatarsal,,0.046
VV05,3.25,4.94,-20.38,14.92,41.54,1,,,Vagnari vicus,5015,Pig,Sus,Pig,,Omnivores,Mandible,M3 Grant wear stage a,0.083
VV04,3.22,7.33,-20.48,15.63,43.12,1,,,Vagnari vicus,3019,Sheep/goat,Ovis/Capra,Sheep/goat,,Herbivores,Tibia,,0.256
VV03,3.2,4.09,-21.47,15.96,43.82,1,,,Vagnari vicus,5015,Cattle,Bos,Cattle,,Herbivores,Tibia,,0.235
VV02,3.22,4.98,-19.91,15.33,42.37,1,,,Vagnari vicus,2008,Sheep/goat,Ovis/Capra,Sheep/goat,,Herbivores,Tibia,,0.168
VV01,3.2,5.48,-20.66,15.62,42.79,1,,,Vagnari vicus,4028,Pig,Sus,Pig,,Omnivores,Metapodial,,0.036
VV32,3.25,6.44,-21.63,15.06,41.97,2,,,Vagnari vicus,3041,Sheep/goat,Ovis/Capra,Sheep/goat,,Herbivores,Humerus,,0.069
VV31,3.19,4.02,-20.22,14.28,39.08,2,Excluded,Could not id to species. Likely caprine. Excluded from further analysis.,Vagnari vicus,4028,Large Mammal,,,,,Rib,,0.074
VV30,3.22,6.93,-20.01,14.8,40.9,2,,Outlier,Vagnari vicus,4027,Cattle,Bos,Cattle,,Herbivores,Phalanx I,,0.053
VV29,3.26,4.61,-20.37,14.33,39.99,2,,,Vagnari vicus,3019,Cattle,Bos,Cattle,,Herbivores,Semilunaire,,0.053
VV28,3.26,6.17,-21.16,14.61,40.86,2,,,Vagnari vicus,3019,Red deer,Cervus elaphus,Deer,,Herbivores,Phalanx II,,0.029
VV27,3.24,4.8,-21.23,14.06,39.08,2,,,Vagnari vicus,6040,Pig,Sus,Pig,,Omnivores,Phalanx II,,0.088
VV25,3.22,5.86,-20.79,15.32,42.29,2,,,Vagnari vicus,4032,Pig,Sus,Pig,,Omnivores,Astragalus,,0.106
VV24,3.23,4.16,-20.91,15.17,41.99,2,,,Vagnari vicus,5015,Pig,Sus,Pig,,Omnivores,Radius,,0.043
VV22,3.23,8.37,-19.04,16.13,44.66,2,,,Vagnari vicus,5015,Dog,Canis,Canid,,Omnivores,Metatarsal,,0.104
VV21,3.23,5.48,-20.79,16.08,44.58,2,,,Vagnari vicus,5015,Sheep/goat,Ovis/Capra,Sheep/goat,Ovis?,Herbivores,Astragalus,,0.06
VV20,3.23,5.18,-20.31,15.79,43.69,2,,,Vagnari vicus,4030,Cattle,Bos,Cattle,,Herbivores,Tibia,,0.025
VV18,3.29,2.74,-19.61,15.5,43.7,2,,Outlier,Vagnari vicus,4030,Pig,Sus,Pig,,Omnivores,Phalanx I,,0.042
VV17,3.22,4.36,-20.66,14.85,41.02,2,,,Vagnari vicus,4030,Cattle,Bos,Cattle,,Herbivores,Phalanx III,,0.084
VV16,3.24,7.08,-20.04,16.48,45.71,2,,,Vagnari vicus,4030,Sheep/goat,Ovis/Capra,Sheep/goat,,Herbivores,Tibia,,0.051
VV15,3.21,5.24,-20.85,16.14,44.37,2,,,Vagnari vicus,4030,Sheep/goat,Ovis/Capra,Sheep/goat,Capra?,Herbivores,Radius,,0.064
VV14,3.23,5.34,-21.22,16.24,44.98,2,,,Vagnari vicus,4030,Sheep,Ovis/Capra,Sheep/goat,Ovis,Herbivores,Humerus,,0.127
VV23,3.22,5.1,-20.55,16.49,45.56,3,,,Vagnari vicus,5015,Sheep/goat,Ovis/Capra,Sheep/goat,Ovis?,Herbivores,Tibia,,0.117
VV19,3.24,6.64,-20.48,15.84,44,3,,,Vagnari vicus,4030,Sheep/goat,Ovis/Capra,Sheep/goat,,Herbivores,Metatarsal,,0.136
