Sample,Site,Area,Period,AnimalGroup,Taxon,TaxGroupComp,d15N,d13C,Reference
PRO_07,Orvieto,Etruscan C Italy,5th c BC,,Ovis aries,Sheep/goat,4.38,-20.11,Trentacoste et al. 2020
PRO_08,Orvieto,Etruscan C Italy,5th c BC,,Ovis aries,Sheep/goat,4.62,-20.75,Trentacoste et al. 2020
PRO_09,Orvieto,Etruscan C Italy,5th c BC,,Ovis aries,Sheep/goat,6.5,-20.4,Trentacoste et al. 2020
PRO_10,Orvieto,Etruscan C Italy,5th c BC,,Ovis aries,Sheep/goat,3.95,-19.5,Trentacoste et al. 2020
PRO_11,Orvieto,Etruscan C Italy,5th c BC,,Ovis aries,Sheep/goat,4.63,-20.11,Trentacoste et al. 2020
PRO_12,Orvieto,Etruscan C Italy,5th c BC,,Ovis aries,Sheep/goat,5.83,-19.64,Trentacoste et al. 2020
PRO_01,Poggio Civitate,Etruscan C Italy,7th c BC,,Ovis aries,Sheep/goat,5.58,-20.96,Trentacoste et al. 2020
PRO_02,Poggio Civitate,Etruscan C Italy,7th c BC,,Ovis aries,Sheep/goat,4.48,-20.4,Trentacoste et al. 2020
PRO_03,Poggio Civitate,Etruscan C Italy,7th c BC,,Ovis aries,Sheep/goat,5.63,-19.53,Trentacoste et al. 2020
PRO_04,Poggio Civitate,Etruscan C Italy,7th c BC,,Ovis aries,Sheep/goat,5.19,-20.87,Trentacoste et al. 2020
PRO_05,Poggio Civitate,Etruscan C Italy,7th c BC,,Ovis aries,Sheep/goat,7.17,-20.12,Trentacoste et al. 2020
PRO_06,Poggio Civitate,Etruscan C Italy,7th c BC,,Ovis aries,Sheep/goat,5.35,-20.17,Trentacoste et al. 2020
5970,Isola Sacra,Isola Sacra,,Caninae,Canis lupus,Canid,9.2,-19.2,Prowse 2001
5973,Isola Sacra,Isola Sacra,,Caninae,Vulpes,Canid,9.3,-19.1,Prowse 2001
5958,Isola Sacra,Isola Sacra,,Equinae,Equus,Equid,3.6,-21.2,Prowse 2001
5974,Isola Sacra,Isola Sacra,,Equinae,Equus,Equid,4.3,-20.9,Prowse 2001
5960,Isola Sacra,Isola Sacra,,Equinae,Equus,Equid,7.7,-19.8,Prowse 2001
5972,Isola Sacra,Isola Sacra,,Caprinae,Capra hircus,Sheep/goat,5.8,-20.6,Prowse 2001
5962,Isola Sacra,Isola Sacra,,Suinae,Sus scrofa,Pig,4,-20.5,Prowse 2001
