Site,SiteShort,Tooth.no,Tooth Sampled,Burial Type,Age,Sex,d18O.VPDB,d18O.Adj,d18O.VSMOW,d18O.DW,Sr,Material,Details
Vagnari cemetery,VC,F35,M1,libation,adult,M,-4.6,-5.3,25.3,-8.2,0.70856,Human,
Vagnari cemetery,VC,F39,molar crown,cap,3 yrs?±?12 mo.,U,-3.3,-4,26.7,-6.1,0.70865,Human,
Vagnari cemetery,VC,F40,M1,cap,15–17 yrs,F,-3.8,-4.5,26.2,-6.9,0.7072,Human,
Vagnari cemetery,VC,F42,M1,cap,28.7 yrs?±?6.5,M,-4.1,-4.8,25.9,-7.4,0.70857,Human,
Vagnari cemetery,VC,F42A,M1,dist,adult,M,-4.4,-5.1,25.6,-7.9,0.70705,Human,
Vagnari cemetery,VC,F49,M1,cap,8 yrs?±?2 yrs,U,-5.8,-6.5,24.1,-10.2,0.70812,Human,
Vagnari cemetery,VC,F55,M1,cap,5–6 yrs,U,-3.8,-4.5,26.2,-6.9,0.70858,Human,
Vagnari cemetery,VC,F59,M1,libation,5 yrs?±?6 mo.,U,-3.6,-4.3,26.3,-6.6,0.7072,Human,
Vagnari cemetery,VC,F67,M1,cap,19–21 yrs,M,-4.6,-5.3,25.4,-8.2,0.70971,Human,
Vagnari cemetery,VC,F92A,M1,cap,old adult,M,-3.5,-4.2,26.5,-6.4,0.70869,Human,
Vagnari cemetery,VC,F92B,M3,same,same,M,-3.9,,26.8,-5.9,0.70861,Human,
Vagnari cemetery,VC,F93,M1,cap,adult,F,-4.2,-4.9,25.8,-7.5,0.70852,Human,
Vagnari cemetery,VC,F95,M1,cap,young adult,F,-3.7,-4.4,26.3,-6.7,0.70863,Human,
Vagnari cemetery,VC,F96A,M1,dist,adult,M,-4.3,-5,25.7,-7.7,0.70827,Human,
Vagnari cemetery,VC,F117,M1,cap,20–25,F,-3.5,-4.2,26.5,-6.4,0.70882,Human,
Vagnari cemetery,VC,F126,M1,cap,20–25 yrs,M,-3.3,-4,26.7,-6.1,0.70863,Human,
Vagnari cemetery,VC,F127,M1,dist,15–20 yrs,F,-4.8,-5.5,25.2,-8.5,0.70862,Human,
Vagnari cemetery,VC,F130,M1,dist,old adult,F,-1.5,-2.2,28.6,-3.1,0.70829,Human,
Vagnari cemetery,VC,F131,M1,libation,35.2?±?9.4,M,-2.1,-2.8,27.9,-4.1,0.70837,Human,
Vagnari cemetery,VC,F132,M1,dist,15–16 yrs,F,-4.1,-4.8,25.9,-7.4,0.70899,Human,
Vagnari cemetery,VC,F137A,M1,tile,21–24 yrs,M?,-3.7,-4.4,26.3,-6.7,0.70871,Human,
Vagnari cemetery,VC,F200,M2,cap,old adult,M?,-4,,26.7,-6.1,0.70867,Human,
Vagnari cemetery,VC,F204,M1,cap,39.4?±?9.1,F,-3.9,-4.6,26.1,-7.1,0.70868,Human,
Vagnari cemetery,VC,F205,M3,cap,young adult,F,-4.3,,26.4,-6.6,0.70863,Human,
Vagnari cemetery,VC,F206,M1,cap,old adult,F,-3.9,-4.6,26.1,-7.1,0.70826,Human,
Vagnari cemetery,VC,F207,M1,cap,young adult,M,-3.3,-4,26.7,-6.1,0.7085,Human,
Vagnari cemetery,VC,F208,M1,cap,12–14.5 yrs,F?,-3.8,-4.5,26.2,-6.9,0.70779,Human,
Vagnari cemetery,VC,F209,M1,lib,14–16 yrs,F,-3.7,-4.4,26.3,-6.7,0.70913,Human,
Vagnari cemetery,VC,F210,M1,cap,9 yrs?±?24 mo,U,-4.9,-5.6,25.1,-8.7,0.70865,Human,
Vagnari cemetery,VC,F211,M1,cap,young adult,F,-2.8,-3.5,27.2,-5.3,0.7088,Human,
Vagnari cemetery,VC,F212,M1,cap,adult,U,-4.8,-5.5,25.2,-8.5,0.70861,Human,
Vagnari cemetery,VC,F214,M1,cap,45–59 yrs,M,-4,-4.7,26,-7.2,0.70895,Human,
Vagnari cemetery,VC,F215,M1,cap,38.2?±?10.9,F,-3.8,-4.5,26.2,-6.9,0.70866,Human,
Vagnari cemetery,VC,F216,M1,cap,35.2?±?9.4,M,-3.6,-4.3,26.4,-6.6,0.70875,Human,
Vagnari cemetery,VC,F220,M2,cap,40–44 yrs,M,-4.1,,26.6,-6.2,0.70877,Human,
Vagnari cemetery,VC,F226,M1,cap,8.0 yrs,U,-5.2,-5.9,24.8,-9.2,0.7084,Human,
Vagnari cemetery,VC,F231,M1,lib,adult,M,-3.3,-4,26.7,-6.1,0.70974,Human,
Vagnari cemetery,VC,F234,M1,cap,35.2?±?9.4,M,-4.9,-5.6,25.1,-8.7,0.70801,Human,
Vagnari cemetery,VC,F235,M1,soil,50 yrs?±?12.6,M,-2.8,-3.5,27.2,-5.3,0.70916,Human,
Vagnari cemetery,VC,F245,M1,cap,19–22 yrs,F,-4,-4.7,26,-7.2,0.70864,Human,
Vagnari cemetery,VC,F249,M1,cap,adult,M?,-4.4,-5.1,25.5,-7.9,0.70857,Human,
Vagnari cemetery,VC,F250,M1,cap,35–39 years,M,-4,-4.7,26,-7.2,0.70792,Human,
Vagnari cemetery,VC,F252,M1,cap,17–22.5 yrs,F,-4.9,-5.6,25.1,-8.7,0.70868,Human,
Vagnari cemetery,VC,FS186,,,,,,,,,0.70802,Fauna,Ungulate tooth
Vagnari cemetery,VC,FS188,,,,,,,,,0.70874,Fauna,Ungulate tooth
Vagnari cemetery,VC,FS195,,,,,,,,,0.70849,Fauna,Ungulate tooth
Vagnari cemetery,VC,FSPSS,,,,,,,,,0.70851,Fauna,Ungulate tooth
Vagnari cemetery,VC,FSG67,,,,,,,,,0.70865,Fauna,Ungulate tooth
Vagnari cemetery,VC,FSG66,,,,,,,,,0.70855,Fauna,Ungulate tooth
Vagnari cemetery,VC,FSP13,,,,,,,,,0.70866,Fauna,Ungulate tooth
Vagnari cemetery,VC,FSS73,,,,,,,,,0.70877,Fauna,Ungulate tooth
Vagnari cemetery,VC,SST15,,,,,,,,,0.70878,Soil,
Vagnari cemetery,VC,SSB70,,,,,,,,,0.70886,Soil,
Vagnari cemetery,VC,SST11,,,,,,,,,0.70881,Soil,
Vagnari cemetery,VC,SSG66,,,,,,,,,0.70872,Soil,
Vagnari cemetery,VC,SST1968,,,,,,,,,0.7087,Soil,
