location,station,month,month.letter,month.num,precip.avg,precip.count,d18O.avg,d18O.count
..Coastal,Bari,January,J,1,56.8,1,-5.92,1
..Coastal,Bari,February,F,2,22.2,1,-7.96,1
..Coastal,Bari,March,M,3,18.5,1,-6.82,1
..Coastal,Bari,April,A,4,57.1,1,-7.27,1
..Coastal,Bari,May,M,5,31.7,1,-2.37,1
..Coastal,Bari,June,J,6,14,1,-3.58,1
..Coastal,Bari,July,J,7,,0,,0
..Coastal,Bari,August,A,8,,0,,0
..Coastal,Bari,September,S,9,13.3,1,-4.31,1
..Coastal,Bari,October,O,10,114,1,-4.42,1
..Coastal,Bari,November,N,11,57.5,1,-8.34,1
..Coastal,Bari,December,D,12,45,1,-7.03,1
..Inland,Gaudio,January,J,1,134.5,2,-10.1,2
..Inland,Gaudio,February,F,2,54.5,2,-10.4,2
..Inland,Gaudio,March,M,3,26.5,2,-8,2
..Inland,Gaudio,April,A,4,69,2,-8.9,2
..Inland,Gaudio,May,M,5,144,2,-6.3,2
..Inland,Gaudio,June,J,6,26,2,-3.9,2
..Inland,Gaudio,July,J,7,48.5,2,-6,2
..Inland,Gaudio,August,A,8,59.5,2,-5.7,2
..Inland,Gaudio,September,S,9,64,2,-7.05,2
..Inland,Gaudio,October,O,10,100,2,-7.55,2
..Inland,Gaudio,November,N,11,15.5,2,-7.45,2
..Inland,Gaudio,December,D,12,179,2,-11.3,2
..Inland,Itala,January,J,1,86,2,-9.7,2
..Inland,Itala,February,F,2,50.5,2,-10.25,2
..Inland,Itala,March,M,3,29,2,-7.95,2
..Inland,Itala,April,A,4,59,2,-8.35,2
..Inland,Itala,May,M,5,81.5,2,-5.4,2
..Inland,Itala,June,J,6,27,2,-4.65,2
..Inland,Itala,July,J,7,28,1,-4.1,1
..Inland,Itala,August,A,8,55.5,2,-4.8,2
..Inland,Itala,September,S,9,49,2,-6.2,2
..Inland,Itala,October,O,10,100.5,2,-7.3,2
..Inland,Itala,November,N,11,14,2,-5.75,2
..Inland,Itala,December,D,12,143,2,-11,2
..Inland,Melfi,January,J,1,138.5,2,-10.5,2
..Inland,Melfi,February,F,2,53.5,2,-10.15,2
..Inland,Melfi,March,M,3,29.5,2,-8.8,2
..Inland,Melfi,April,A,4,96,2,-8.8,2
..Inland,Melfi,May,M,5,109,2,-5.5,2
..Inland,Melfi,June,J,6,14.5,2,-3.55,2
..Inland,Melfi,July,J,7,67,2,-6,2
..Inland,Melfi,August,A,8,65.5,2,-5.6,2
..Inland,Melfi,September,S,9,55.5,2,-6.85,2
..Inland,Melfi,October,O,10,119,2,-7.25,2
..Inland,Melfi,November,N,11,17,2,-6.15,2
..Inland,Melfi,December,D,12,188,2,-11.4,2
..Inland,Nigro,January,J,1,116.5,2,-9.95,2
..Inland,Nigro,February,F,2,48.5,2,-9.65,2
..Inland,Nigro,March,M,3,27,2,-6.9,2
..Inland,Nigro,April,A,4,74,2,-7.9,2
..Inland,Nigro,May,M,5,96.5,2,-4.55,2
..Inland,Nigro,June,J,6,17.5,2,-3.8,2
..Inland,Nigro,July,J,7,41.5,2,-4.7,2
..Inland,Nigro,August,A,8,52.5,2,-4.15,2
..Inland,Nigro,September,S,9,67,2,-5.75,2
..Inland,Nigro,October,O,10,98.5,2,-6.6,2
..Inland,Nigro,November,N,11,19,2,-5.5,2
..Inland,Nigro,December,D,12,169,2,-10.9,2
..Piloni,Piloni,January,J,1,222,1,-10.7,1
..Piloni,Piloni,February,F,2,68,1,-9.3,1
..Piloni,Piloni,March,M,3,47,1,-9,1
..Piloni,Piloni,April,A,4,35,1,-8.5,1
..Piloni,Piloni,May,M,5,103,1,-8.1,1
..Piloni,Piloni,June,J,6,,0,,0
..Piloni,Piloni,July,J,7,37,1,-7.3,1
..Piloni,Piloni,August,A,8,50.5,2,-7.2,2
..Piloni,Piloni,September,S,9,42.5,2,-8.75,2
..Piloni,Piloni,October,O,10,123,2,-8.8,2
..Piloni,Piloni,November,N,11,12,2,-6.4,2
..Piloni,Piloni,December,D,12,163,1,-12.2,1
..Coastal,Taranto,January,J,1,59.6,1,-4.94,1
..Coastal,Taranto,February,F,2,22.7,1,-6.2,1
..Coastal,Taranto,March,M,3,28.2,1,-7.39,1
..Coastal,Taranto,April,A,4,54.3,1,-4.56,1
..Coastal,Taranto,May,M,5,14.5,1,-4.31,1
..Coastal,Taranto,June,J,6,4.9,1,-3.46,1
..Coastal,Taranto,July,J,7,,0,,0
..Coastal,Taranto,August,A,8,,0,,0
..Coastal,Taranto,September,S,9,,0,,0
..Coastal,Taranto,October,O,10,79,1,-5.15,1
..Coastal,Taranto,November,N,11,56.2,1,-8.12,1
..Coastal,Taranto,December,D,12,48.6,1,-5.38,1
